City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Pokrovka,KG,2021-11-25 17:39:24,42.3414,78.0056,274.86,49,81,3.72
102,Bowen,AU,2021-11-25 17:39:25,-20.0167,148.2333,296.27,82,100,4.62
103,Hun,LY,2021-11-25 17:39:25,29.1268,15.9477,298.4,21,27,5.16
104,Redcliffe,AU,2021-11-25 17:39:26,-27.2307,153.0973,296.53,45,75,3.6
105,Belmonte,BR,2021-11-25 17:39:26,-15.8631,-38.8828,302.15,63,24,5.1
106,Pimentel,PE,2021-11-25 17:39:27,-6.8367,-79.9342,297.31,57,0,7.72
107,Taoudenni,ML,2021-11-25 17:39:28,22.6783,-3.9836,302.16,25,29,4.17
108,Henties Bay,NA,2021-11-25 17:39:28,-22.116,14.2845,289.18,88,0,2.32
109,Upernavik,GL,2021-11-25 17:39:29,72.7868,-56.1549,265.37,88,100,3.83
110,Samarai,PG,2021-11-25 17:39:29,-10.6167,150.6667,301.28,78,89,5.28
111,Aksu,CN,2021-11-25 17:39:30,41.1231,80.2644,272.94,45,19,0.57
112,Leamington,CA,2021-11-25 17:39:30,42.0549,-82.6062,281.15,100,100,5.36
113,Ponta Do Sol,PT,2021-11-25 17:39:31,32.6667,-17.1,291.55,55,99,2.73
114,Maniitsoq,GL,2021-11-25 17:39:31,65.4167,-52.9,268.53,74,93,5.29
115,Bambous Virieux,MU,2021-11-25 17:39:32,-20.3428,57.7575,298.29,78,40,1.54
116,Baniachang,BD,2021-11-25 17:39:33,24.5167,91.3667,291.04,56,0,1.84
117,Siilinjarvi,FI,2021-11-25 17:39:33,63.0833,27.6667,268.16,86,90,4.12
118,Belaya Gora,RU,2021-11-25 17:39:34,68.5333,146.4167,235.52,100,30,0.36
119,Maun,BW,2021-11-25 17:39:34,-19.9833,23.4167,305.13,25,0,2.06
120,Huarmey,PE,2021-11-25 17:39:35,-10.0681,-78.1522,295.49,75,78,5.14
121,Svetlogorsk,BY,2021-11-25 17:39:35,52.6333,29.7333,274.76,74,10,6.24
122,Kodiak,US,2021-11-25 17:39:36,57.79,-152.4072,264.88,53,1,9.77
123,Portland,US,2021-11-25 17:35:07,45.5234,-122.6762,282.32,91,75,0.45
124,Jamestown,US,2021-11-25 17:39:37,42.097,-79.2353,281.77,61,90,3.6
125,Tiznit,MA,2021-11-25 17:39:37,29.5833,-9.5,286.08,65,82,2.92
126,Luderitz,NA,2021-11-25 17:39:38,-26.6481,15.1594,289.75,89,38,3.4
127,Tuatapere,NZ,2021-11-25 17:39:38,-46.1333,167.6833,286.64,76,96,4.1
128,Mar Del Plata,AR,2021-11-25 17:35:05,-38.0023,-57.5575,293.16,85,0,4.02
129,Bilibino,RU,2021-11-25 17:39:39,68.0546,166.4372,244.12,99,100,1.19
130,Qiqihar,CN,2021-11-25 17:39:39,47.3408,123.9672,262.68,81,63,2.81
131,Wanasari,ID,2021-11-25 17:39:39,-7.4068,106.9756,299.29,81,97,1.1
132,Nabire,ID,2021-11-25 17:39:40,-3.3667,135.4833,297.41,92,90,1.5
133,Sholapur,IN,2021-11-25 17:39:40,17.6833,75.9167,296.38,61,3,4.33
134,Aklavik,CA,2021-11-25 17:39:41,68.2191,-135.0107,247.15,76,75,4.12
135,Samokov,BG,2021-11-25 17:39:42,42.3333,23.55,276.5,88,16,1.84
136,Clyde River,CA,2021-11-25 17:40:42,70.4692,-68.5914,255.76,98,100,1.63
