City_ID,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Current_Description,Country,Date
76,San Cristobal,7.7669,-72.225,80.78000000000003,51,51,2.51,broken clouds,VE,2021-11-28 17:13:45
77,Floro,61.5996,5.0328,28.363999999999976,74,13,4.63,few clouds,NO,2021-11-28 17:13:46
78,Uyuni,-20.4597,-66.825,68.25200000000001,20,63,4.57,broken clouds,BO,2021-11-28 17:13:46
79,Bredasdorp,-34.5322,20.0403,67.53199999999998,69,67,6.62,broken clouds,ZA,2021-11-28 17:13:47
80,Borogontsy,62.6683,131.1683,-6.825999999999965,99,100,1.94,overcast clouds,RU,2021-11-28 17:13:47
81,Port Lincoln,-34.7333,135.8667,58.74799999999999,78,0,3.57,clear sky,AU,2021-11-28 17:13:48
82,Outram,1.2829,103.8379,82.32800000000003,74,75,1.03,broken clouds,MY,2021-11-28 17:13:48
83,Mago,53.2514,140.1822,20.353999999999985,96,100,1.14,light snow,RU,2021-11-28 17:13:48
84,Rio Grande,-32.035,-52.0986,77.108,81,100,4.39,overcast clouds,BR,2021-11-28 17:13:49
85,Barrow,71.2906,-156.7887,-9.382000000000005,64,90,5.66,haze,US,2021-11-28 17:13:49
86,Saint-Augustin,51.226,-58.6502,35.563999999999965,85,100,11.31,overcast clouds,CA,2021-11-28 17:13:50
87,Lasa,46.6166,10.7002,30.110000000000014,94,100,3.15,overcast clouds,IT,2021-11-28 17:13:50
88,Bethel,41.3712,-73.414,36.176000000000045,75,90,1.54,overcast clouds,US,2021-11-28 17:09:45
89,Taksimo,56.3444,114.8794,-7.420000000000016,96,94,0.64,overcast clouds,RU,2021-11-28 17:13:51
90,Hofn,64.2539,-15.2082,30.776000000000067,96,100,2.44,snow,IS,2021-11-28 17:13:51
91,Provideniya,64.3833,-173.3,-5.494000000000028,76,7,2.11,clear sky,RU,2021-11-28 17:13:51
92,Sao Felix Do Xingu,-6.6447,-51.995,90.71599999999995,49,55,1.4,broken clouds,BR,2021-11-28 17:14:52
93,Severo-Kurilsk,50.6789,156.125,33.13399999999996,69,95,9.22,overcast clouds,RU,2021-11-28 17:14:52
94,Oranjemund,-28.55,16.4333,66.07400000000001,77,24,5.14,few clouds,NA,2021-11-28 17:14:53
95,Manaure,11.7751,-72.4445,87.18800000000005,57,100,5.8,overcast clouds,CO,2021-11-28 17:14:53
96,Hamina,60.5697,27.1979,18.680000000000007,76,100,5.49,overcast clouds,FI,2021-11-28 17:14:53
97,Atuona,-9.8,-139.0333,78.2419999999999,72,1,8.59,clear sky,PF,2021-11-28 17:14:54
98,Kapaa,22.0752,-159.319,66.52399999999994,88,20,2.57,few clouds,US,2021-11-28 17:14:54
99,Nago,26.5881,127.9761,71.67199999999997,70,100,9.15,overcast clouds,JP,2021-11-28 17:14:55
100,Vila Franca Do Campo,37.7167,-25.4333,63.01399999999995,66,78,1.79,broken clouds,PT,2021-11-28 17:14:55
101,Roald,62.5833,6.1333,26.744000000000028,68,20,4.63,few clouds,NO,2021-11-28 17:14:56
102,Kavieng,-2.5744,150.7967,81.69800000000004,77,74,2.88,light rain,PG,2021-11-28 17:14:56
103,Upernavik,72.7868,-56.1549,-7.978000000000009,72,1,4.01,clear sky,GL,2021-11-28 17:14:56
104,Sao Miguel Do Araguaia,-13.275,-50.1628,85.29799999999994,68,39,3.1,scattered clouds,BR,2021-11-28 17:14:57
105,Port Elizabeth,-33.918,25.5701,66.488,77,0,11.83,clear sky,ZA,2021-11-28 17:14:57
106,Iqaluit,63.7506,-68.5145,24.529999999999973,63,90,4.12,overcast clouds,CA,2021-11-28 17:14:58
107,Takoradi,4.8845,-1.7554,82.68800000000005,73,40,3.96,scattered clouds,GH,2021-11-28 17:14:58
108,Port Shepstone,-30.7414,30.455,72.08600000000007,89,11,2.6,few clouds,ZA,2021-11-28 17:14:59
109,Cherskiy,68.75,161.3,-6.951999999999998,99,100,1.66,overcast clouds,RU,2021-11-28 17:14:59
110,Kruisfontein,-34.0033,24.7314,65.03000000000003,77,5,9.87,clear sky,ZA,2021-11-28 17:15:00
111,Jamestown,42.097,-79.2353,36.71599999999995,93,90,8.23,light rain,US,2021-11-28 17:11:38
112,Ostrovnoy,68.0531,39.5131,9.589999999999975,90,99,2.28,overcast clouds,RU,2021-11-28 17:15:00
113,Naze,28.3667,129.4833,63.73399999999998,62,99,7.02,overcast clouds,JP,2021-11-28 17:15:01
114,Kirakira,-10.4544,161.9205,79.41199999999998,83,38,1.63,scattered clouds,SB,2021-11-28 17:15:01
115,Cayenne,4.9333,-52.3333,87.83600000000007,66,75,5.66,broken clouds,GF,2021-11-28 17:15:01
116,Canutama,-6.5339,-64.3831,85.76600000000002,67,100,1.3,overcast clouds,BR,2021-11-28 17:15:02
117,Le Port,-20.9373,55.2919,76.99999999999994,82,87,1.35,overcast clouds,RE,2021-11-28 17:15:02
